관찰된 값,예측값
22.1,17.97077451
10.4,9.147974048
9.3,7.850223765
18.5,14.23439457
12.9,15.62721814
7.2,7.446162321
11.8,9.765950374
13.2,12.74649773
4.8,7.441408657
10.6,16.53041431
8.6,10.17476548
17.4,17.23871025
9.2,8.163965591
9.7,11.66741599
19,16.73482186
22.4,16.32125309
12.5,10.25557777
24.4,20.40940417
11.3,10.32212907
14.6,14.03474068
18,17.41459582
12.5,18.31779199
5.6,7.660077203
15.5,17.88520856
9.7,9.994126248
12,19.52997632
15,13.82557947
15.9,18.44614092
18.9,18.85970969
10.5,10.38868036
21.4,20.95607553
11.9,12.39948025
9.6,11.653155
17.4,19.65832525
9.5,11.58185004
12.8,20.85149492
25.4,19.72012288
14.7,10.58358059
10.1,9.081422752
21.5,17.87094757
16.6,16.65876324
17.1,15.44657891
20.7,20.98935118
12.9,16.86792445
8.5,8.225763224
14.9,15.35625929
10.6,11.2966302
23.2,18.43663359
14.8,17.83291826
9.7,10.21279479
11.4,16.53041431
10.7,11.80527225
22.6,17.31952254
21.2,15.71278409
20.2,19.52046899
23.7,16.48763133
5.5,7.379611024
13.2,13.50708398
23.8,17.05331735
18.4,17.04856369
8.1,9.575803812
24.2,19.45391769
15.7,18.4081116
14,11.91460652
18,13.26464711
9.3,10.31262174
9.5,8.529997723
13.4,13.65444756
18.9,18.31779199
22.3,17.3385372
18.3,16.49713866
12.4,12.25211667
8.8,8.306575513
11,13.18383482
17,17.17691262
8.7,7.835962772
6.9,8.339851161
14.2,12.76075872
5.3,7.289291407
11,12.54684384
11.8,10.66439288
12.3,18.43187993
11.3,10.61210257
13.6,10.28409975
21.7,17.18166628
15.2,16.21667248
12,10.65963921
16,12.29489965
12.9,11.2300789
16.7,12.25211667
11.2,13.41676436
7.3,8.392141466
19.4,17.38132017
22.2,18.95953663
11.5,12.13802873
16.9,14.79532693
11.7,16.4258337
15.5,15.82211837
25.4,20.80395828
17.2,13.45954734
11.7,17.60474238
23.8,21.12245377
14.8,20.3523602
14.7,15.96472829
20.7,18.3558213
19.2,13.58789626
7.2,8.22100956
8.7,11.32990584
5.3,7.655323539
19.8,19.17345152
13.4,17.76636696
21.8,18.52219954
14.1,15.38478127
15.9,16.99627338
14.6,10.74995883
12.6,10.60259525
12.2,13.6496939
9.4,10.66439288
15.9,13.00794925
6.6,7.954804374
15.5,13.74952084
7,7.926282389
11.6,17.68080101
15.2,12.88435399
19.7,17.94225253
10.6,11.17778859
6.6,7.403379345
8.8,10.84503211
24.7,17.50491544
9.7,9.865777319
1.6,7.065869197
12.7,19.63931059
5.7,7.431901329
19.6,17.48114712
10.8,8.786695581
11.6,9.328613282
9.5,8.249531544
20.8,20.04337204
9.6,9.076669088
20.7,15.82211837
10.9,10.52178296
19.2,16.2404408
20.1,17.51442276
10.4,12.00492614
11.4,11.60561836
10.3,13.7019842
13.2,18.44614092
25.4,18.5935045
10.9,8.838985886
10.1,9.157481376
16.1,20.37612852
11.6,12.78452704
16.6,16.4258337
19,15.17562006
15.6,15.95997462
3.2,7.227493775
15.3,11.49628409
10.1,14.15358229
7.3,7.588772242
12.9,13.29316909
14.4,15.23266402
13.3,11.10648363
14.9,15.98849661
18,14.80483426
11.9,12.60388781
11.9,18.17993573
8,7.883499413
12.2,16.86317079
17.1,17.2719859
15,20.54726042
8.4,9.409425571
14.5,14.8523709
7.6,7.964311702
11.7,15.0377638
11.5,17.60474238
27,20.19548929
20.2,18.84069503
11.7,15.12332975
11.8,20.18598196
12.6,14.9046612
10.5,14.47683144
12.2,17.41934948
8.7,9.704152741
26.2,20.70413134
17.6,19.09739289
22.6,16.77760484
10.3,13.66395489
17.3,16.11684554
15.9,20.62807271
6.7,7.921528725
10.8,8.910290846
9.9,10.6216099
5.9,7.850223765
19.6,14.96170517
17.3,14.14882862
7.6,8.848493214
9.7,11.51054508
12.8,15.44657891
25.5,20.51398478
13.4,18.06584779
